contamination,accepted_update_rows,active_blocks,trigger_count,runtime_seconds,test_station,scenario
0.020678661616161616,316800,88,3,0.5593256599998995,S1,VOLTAGE_RAMP
0.01972222222222222,291600,81,3,0.5534813890000123,S1,LOAD_RAMP
0.020678661616161616,316800,88,3,0.596344930999976,S1,SENSOR_GAIN
0.01972222222222222,291600,81,3,0.6068500670000958,S1,FREQUENCY_OFFSET
0.019796437659033078,471600,131,1,0.5748537250000254,S2,VOLTAGE_RAMP
0.019796437659033078,471600,131,1,0.5557009569999991,S2,LOAD_RAMP
0.019796437659033078,471600,131,1,0.5523482749999857,S2,SENSOR_GAIN
0.019796437659033078,471600,131,1,0.5927357399999664,S2,FREQUENCY_OFFSET
0.01390905017921147,446400,124,3,0.5761121850000563,S3,VOLTAGE_RAMP
0.01390905017921147,446400,124,3,0.5762214519999134,S3,LOAD_RAMP
0.01390905017921147,446400,124,3,0.5710836910000125,S3,SENSOR_GAIN
0.01510304659498208,446400,124,3,0.5541538440000977,S3,FREQUENCY_OFFSET
