scenario,method,known_acceptance,known_correct_rate,unknown_recall,h_score,unknown_auroc,open_macro_f1,false_unknown_rate
FREQUENCY_OFFSET,DUAL_SAFE_ADAPTIVE,0.3752482164386336,0.2985269647383701,0.6915187376725839,0.3680675922379731,0.5704122251193693,0.2871120693659477,0.6247517835613664
FREQUENCY_OFFSET,NAIVE_ADAPTIVE,0.3847199616612472,0.3067705705038444,0.6852509314047776,0.3684138717979668,0.5676184309339374,0.2968479966396835,0.6152800383387527
FREQUENCY_OFFSET,STATIC,0.3666903713376533,0.3018581705293158,0.6916611878150339,0.3744841108172592,0.5575690729584036,0.3023662141637757,0.6333096286623466
LOAD_RAMP,DUAL_SAFE_ADAPTIVE,0.3783293399179088,0.2985678957691755,0.6851084812623274,0.3683312363937415,0.5721700758807711,0.2843628810537365,0.6216706600820912
LOAD_RAMP,NAIVE_ADAPTIVE,0.3859695258512797,0.3063652393732622,0.6788406749945212,0.3683415318162894,0.5706793554160298,0.2939088886752716,0.6140304741487203
LOAD_RAMP,STATIC,0.4260738464130559,0.3402115200442114,0.6499639961178423,0.395040150459395,0.5727851020864199,0.339829123250543,0.5739261535869441
SENSOR_GAIN,DUAL_SAFE_ADAPTIVE,0.3744368092922535,0.2966274899125015,0.6680144641683103,0.3640910585843359,0.568393939782388,0.2829417538730537,0.6255631907077465
SENSOR_GAIN,NAIVE_ADAPTIVE,0.3816773027892035,0.3044117332569632,0.661746657900504,0.3627252518017618,0.5667701384142269,0.2930799215330706,0.6183226972107965
SENSOR_GAIN,STATIC,0.4074606086514312,0.3190041211061898,0.6327987539526001,0.3755341178307072,0.5596444585679949,0.3227893772405284,0.5925393913485687
VOLTAGE_RAMP,DUAL_SAFE_ADAPTIVE,0.3757048490848835,0.2979260547356565,0.6680144641683103,0.3646688845142745,0.5689308991525592,0.2850105647186141,0.6242951509151166
VOLTAGE_RAMP,NAIVE_ADAPTIVE,0.3820976474718432,0.304832077939603,0.661746657900504,0.3627252518017618,0.5669649802072603,0.2940661148269562,0.6179023525281567
VOLTAGE_RAMP,STATIC,0.4073448539314543,0.3202920905475833,0.6327987539526001,0.3765988433549797,0.5594227595413463,0.3236091754317055,0.5926551460685456
FREQUENCY_OFFSET,TRIGGERED_DUAL_SAFE,0.3879440890860763,0.3114615027535081,0.6930637738330047,0.3861617299963614,0.5675958968796965,0.3064888601000261,0.6120559109139236
LOAD_RAMP,TRIGGERED_DUAL_SAFE,0.3957047801574392,0.3153775896365333,0.6810181271719733,0.3870449744982781,0.5695563354054759,0.3065840488223609,0.6042952198425606
SENSOR_GAIN,TRIGGERED_DUAL_SAFE,0.3855559697944309,0.3079754769702998,0.6637597445289753,0.3787704740928131,0.563362171238784,0.3023469883137039,0.614444030205569
VOLTAGE_RAMP,TRIGGERED_DUAL_SAFE,0.3859833202217814,0.308853697110815,0.6637597445289753,0.379578823613629,0.5637138480854627,0.3041669921605548,0.6140166797782186
FREQUENCY_OFFSET,TRIGGER_ONLY_NO_GATE,0.39083496558419006,0.31497337646370976,0.6919241726934034,0.38679503319493597,0.5657230639985235,0.31175796414120327,
LOAD_RAMP,TRIGGER_ONLY_NO_GATE,0.3986307130037513,0.3197482507099212,0.6862887824426286,0.3889530665751043,0.5708332177635251,0.31309433835590933,
SENSOR_GAIN,TRIGGER_ONLY_NO_GATE,0.3900349568050895,0.3143433167272453,0.6690303997996306,0.38221840276471214,0.5660277227595308,0.3102223601681406,
VOLTAGE_RAMP,TRIGGER_ONLY_NO_GATE,0.3904485217347835,0.31517722633957906,0.6775774083466392,0.38414660235564557,0.5665874796784448,0.3123151568796373,
