experiment,setting,h_score,known_acceptance,known_correct_rate,unknown_recall,macro_f1,contamination,active_blocks,triggers
eta,0.1,0.37999446072179416,0.38084751096931263,0.3105445049135334,0.6852129707898938,0.3100162226731057,0.006502081324692416,107.75,2.6666666666666665
eta,0.2,0.3828890005502704,0.38879703981493197,0.3109170666177891,0.6754003475157321,0.30489672234916143,0.006552197688033066,114.5,2.0
eta,0.4,0.39386050395646055,0.3820725257124971,0.31721137631096324,0.6973787608402993,0.3195796692756552,0.00672955133262855,106.66666666666667,5.0
zgate,3.0,0.38441344452353926,0.3879055773415848,0.31106402165134167,0.6793889515043361,0.30485089930098963,0.005788161876024459,114.5,2.0
zgate,4.0,0.3828890005502704,0.38879703981493197,0.3109170666177891,0.6754003475157321,0.30489672234916143,0.006552197688033066,114.5,2.0
zgate,5.0,0.384030993599113,0.3882337499894363,0.3109238629069752,0.6805285526439372,0.30498177245896824,0.007229652314035808,114.5,2.0
