n_unknown_classes,scenario,known_acceptance,known_correct_rate,unknown_recall,h_score,unknown_auroc,macro_f1
2,FREQUENCY_OFFSET,0.4994248632905245,0.40833784380076393,0.5699760887260887,0.44478273780960903,0.5744535493098845,0.38470613117509894
2,LOAD_RAMP,0.4973850615149218,0.40480899744401144,0.5818808506308506,0.44855071002343233,0.5805652683142309,0.3791231107883825
3,FREQUENCY_OFFSET,0.49752706062749535,0.40650198399290943,0.5554092897842898,0.44755460940335007,0.5635626615174432,0.37080931220736685
3,LOAD_RAMP,0.497836678545809,0.40677758830578087,0.5682679588929589,0.45251989520009567,0.5624744138989682,0.3741897803710994
